Time,JUNCTION-16,JUNCTION-20,JUNCTION-30,JUNCTION-45,JUNCTION-90,JUNCTION-23,416-B
0,263.31,263.32,264.05,353.88,263.97,264.03,293.8
0.005,263.31,263.32,264.05,353.88,263.97,264.04,293.8
0.01,263.31,263.32,264.05,353.88,263.97,264.04,293.95
0.015,263.31,263.32,264.05,353.88,263.97,264.04,293.95
0.02,263.31,263.32,264.05,353.88,263.97,264.04,293.95
0.025,263.31,263.32,264.05,353.88,263.97,264.04,293.95
0.03,263.31,263.32,264.05,353.88,263.97,264.04,293.95
0.035,263.31,263.32,264.05,353.88,263.97,264.04,293.95
0.04,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.045,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.05,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.055,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.06,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.065,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.07,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.075,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.08,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.085,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.09,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.095,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.1,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.105,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.11,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.115,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.12,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.125,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.13,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.135,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.14,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.145,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.15,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.155,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.16,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.165,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.17,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.175,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.18,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.185,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.19,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.195,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.2,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.205,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.21,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.215,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.22,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.225,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.23,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.235,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.24,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.245,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.25,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.255,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.26,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.265,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.27,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.275,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.28,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.285,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.29,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.295,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.3,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.305,263.31,263.32,264.05,353.88,263.97,264.03,293.95
0.31,263.31,263.32,264.05,353.88,263.97,264.03,293.95
