Time,JUNCTION-16,JUNCTION-20,JUNCTION-30,JUNCTION-45,JUNCTION-90
0.000000000000000000e+00,2.633543251464536183e+02,2.633575621582031658e+02,2.641051444335937504e+02,3.539470351873773666e+02,2.640412704565694639e+02
5.007807402760041000e-03,2.633543251464541868e+02,2.633575621941236591e+02,2.641051458738516544e+02,3.539470352851687949e+02,2.640412629240955766e+02
1.001561480552008200e-02,2.633543251464546984e+02,2.633575621940921678e+02,2.641051458738915585e+02,3.539470352851716939e+02,2.640412629240940419e+02
1.502342220828012387e-02,2.633543251464552668e+02,2.633575621940599945e+02,2.641051458739416944e+02,3.539470352851752182e+02,2.640412629240622664e+02
2.003122961104016400e-02,2.633543251464557216e+02,2.633575621940285032e+02,2.641051458739814279e+02,3.539470352851780603e+02,2.640412629240606179e+02
2.503903701380020413e-02,2.633543251464565174e+02,2.633575621939963298e+02,2.641051458740318481e+02,3.539470352851815846e+02,2.640412629240288993e+02
3.004684441656024774e-02,2.633543251464569721e+02,2.633575621939647249e+02,2.641051458740715816e+02,3.539470352851844837e+02,2.640412629240272508e+02
3.505465181932028440e-02,2.633543251464574269e+02,2.633575621939326084e+02,2.641051458741218312e+02,3.539470352851878943e+02,2.640412629239955891e+02
4.006245922208032800e-02,2.633543251464578816e+02,2.633575621939011739e+02,2.641051458741615647e+02,3.539470352851907364e+02,2.640412629239938838e+02
4.507026662484037161e-02,2.633543251464585637e+02,2.633575621938691143e+02,2.641051458742119848e+02,3.539470352851942607e+02,2.640412629239620514e+02
5.007807402760040827e-02,2.633543251464590185e+02,2.633575621938377935e+02,2.641051458742515479e+02,3.539470352851972166e+02,2.640412674024215107e+02
5.508588143036045187e-02,2.633543251464595869e+02,2.633575621938053359e+02,2.641051458743019111e+02,3.539470352852005703e+02,2.640412674023947375e+02
6.009368883312049547e-02,2.633543251464600417e+02,2.633575621937740152e+02,2.641051458743417584e+02,3.539470352852035830e+02,2.640412680031902823e+02
6.510149623588053214e-02,2.633543251464606101e+02,2.633575621937417850e+02,2.641051458743919511e+02,3.539470352852071642e+02,2.640412680031706145e+02
