Time,JUNCTION-16,JUNCTION-20,JUNCTION-30,JUNCTION-45,JUNCTION-90,JUNCTION-23,416-B
0.000000000000000000e+00,2.633111572265625000e+02,2.633152465820312500e+02,2.640505065917968750e+02,3.538780212402343750e+02,2.639710998535156250e+02,2.640349121093750000e+02,2.911172485351562500e+02
5.233958827020097730e-03,2.633111573099893121e+02,2.633152459885004646e+02,2.640505052334509628e+02,3.538780265720068883e+02,2.639711198230903051e+02,2.640349124966260206e+02,2.923560657217130370e+02
1.046791765404019546e-02,2.633111573099893121e+02,2.633152456300532549e+02,2.640505036428694439e+02,3.538780313851404458e+02,2.639711457582233152e+02,2.640349160391884880e+02,2.923560077659132048e+02
1.570187648106029232e-02,2.633111573099893121e+02,2.633152452715533514e+02,2.640505020522965651e+02,3.538780361982738896e+02,2.639711687984067794e+02,2.640349195872908012e+02,2.923559502086546331e+02
2.093583530808039092e-02,2.633111573099893121e+02,2.633152449131791855e+02,2.640505004617151599e+02,3.538780410114162578e+02,2.639711889434078103e+02,2.640349231359122655e+02,2.923558922528246171e+02
2.616979413510048952e-02,2.633111573099893121e+02,2.633152445543897215e+02,2.640504988711385863e+02,3.538780458245584555e+02,2.639712148790716242e+02,2.640349266900629459e+02,2.923558346948492499e+02
3.140375296212058465e-02,2.633111573099893121e+02,2.633152441959676366e+02,2.640504972805536568e+02,3.538780506376888866e+02,2.639712379195263452e+02,2.640349302449351399e+02,2.923557767391897642e+02
3.663771178914068671e-02,2.633111573099893121e+02,2.633152438374930853e+02,2.640504956899702620e+02,3.538780554508296063e+02,2.639712609602496514e+02,2.640349338052247390e+02,2.923557191801394879e+02
4.187167061616078184e-02,2.633111573099893121e+02,2.633152434787813831e+02,2.640504940993884020e+02,3.538780602639584458e+02,2.639712939924713169e+02,2.640349373661338745e+02,2.923556612246364921e+02
4.710562944318087697e-02,2.633111573099893121e+02,2.633152431202589128e+02,2.640504925088085315e+02,3.538780650770872285e+02,2.639713267594190711e+02,2.640349409328555339e+02,2.923556036650024339e+02
5.233958827020097904e-02,2.633111573099893121e+02,2.633152427613784425e+02,2.640504909182164965e+02,3.538780698902248218e+02,2.639713424912707183e+02,2.640349444996893453e+02,2.923555457094280428e+02
5.757354709722107416e-02,2.633111573099893121e+02,2.633152424028082237e+02,2.640504893276232679e+02,3.538780747033520697e+02,2.639713580240141368e+02,2.640349480722238127e+02,2.923554881490512116e+02
6.280750592424116929e-02,2.633111573099893121e+02,2.633152420440009678e+02,2.640504877370345298e+02,3.538780795164881852e+02,2.639713683794836925e+02,2.640349516455797811e+02,2.923554301933914417e+02
6.804146475126127136e-02,2.633111573099893121e+02,2.633152416852618671e+02,2.640504861464377768e+02,3.538780843296138414e+02,2.639713890889270260e+02,2.640349552242203117e+02,2.923553726323205524e+02
7.327542357828137343e-02,2.633111573099893121e+02,2.633152413266486178e+02,2.640504845558388070e+02,3.538780891427483652e+02,2.639714046210229981e+02,2.640349588033774353e+02,2.923553146767757767e+02
7.850938240530146162e-02,2.633111573099893121e+02,2.633152409678619392e+02,2.640504829652518879e+02,3.538780939558620275e+02,2.639714139783092151e+02,2.640349623882145238e+02,2.923552571150515291e+02
8.374334123232156368e-02,2.633111573099893121e+02,2.633152406090799218e+02,2.640504813746495074e+02,3.538780987690053053e+02,2.639714281434127656e+02,2.640349659734663419e+02,2.923551991593933508e+02
8.897730005934166575e-02,2.633111573099893121e+02,2.633152402503661733e+02,2.640504797840457627e+02,3.538781035821278351e+02,2.639714369948599142e+02,2.640349695644891881e+02,2.923551415968335618e+02
9.421125888636175394e-02,2.633111573099893121e+02,2.633152398915365211e+02,2.640504781934432685e+02,3.538781083952591189e+02,2.639714346363152231e+02,2.640349731558247868e+02,2.923550836412634339e+02
9.944521771338185601e-02,2.633111573099893121e+02,2.633152395326541750e+02,2.640504766028463450e+02,3.538781132083697685e+02,2.639714281081795093e+02,2.640349767529211249e+02,2.923550260781088923e+02
1.046791765404019581e-01,2.633111573099893121e+02,2.633152391737765470e+02,2.640504750122368023e+02,3.538781180214995175e+02,2.639714191337002376e+02,2.640349803503295334e+02,2.923549681223976791e+02
1.099131353674220463e-01,2.633111573099893121e+02,2.633152388147256033e+02,2.640504734216330576e+02,3.538781228346292096e+02,2.639714134989515628e+02,2.640349839534883927e+02,2.923549105586666883e+02
1.151470941944421483e-01,2.633111573099893121e+02,2.633152384559210759e+02,2.640504718310239127e+02,3.538781276477573670e+02,2.639714120000954267e+02,2.640349875569590381e+02,2.923548526030159564e+02
1.203810530214622504e-01,2.633111573099893121e+02,2.633152380968222701e+02,2.640504702404130057e+02,3.538781324608752357e+02,2.639714065724286911e+02,2.640349911658653923e+02,2.923547950382906038e+02
1.256150118484823386e-01,2.633111573099893121e+02,2.633152377378493156e+02,2.640504686498036904e+02,3.538781372739915696e+02,2.639714053243966418e+02,2.640349947755900644e+02,2.923547370828998737e+02
1.308489706755024407e-01,2.633111573099893121e+02,2.633152373789445164e+02,2.640504670591894296e+02,3.538781420871180785e+02,2.639714047177083103e+02,2.640349983906387479e+02,2.923546795173992905e+02
1.360829295025225427e-01,2.633111573099893121e+02,2.633152370198027938e+02,2.640504654685699393e+02,3.538781469002224185e+02,2.639714110801212996e+02,2.640350020064039427e+02,2.923546215618263773e+02
1.413168883295426448e-01,2.633111573099893121e+02,2.633152366608504735e+02,2.640504638779590891e+02,3.538781517133475063e+02,2.639714170789290506e+02,2.640350056274828603e+02,2.923545639959734217e+02
1.465508471565627469e-01,2.633111573099893121e+02,2.633152363017818516e+02,2.640504622873293670e+02,3.538781565264710025e+02,2.639714189396332813e+02,2.640350092492776639e+02,2.923545060402067293e+02
1.517848059835828212e-01,2.633111573099893121e+02,2.633152359426606495e+02,2.640504606967182895e+02,3.538781613395943282e+02,2.639714273736730661e+02,2.640350128764774240e+02,2.923544484735624565e+02
1.570187648106029232e-01,2.633111573099893121e+02,2.633152355836652987e+02,2.640504591060915800e+02,3.538781661526955986e+02,2.639714280582362562e+02,2.640350165039868102e+02,2.923543905180144407e+02
1.622527236376230253e-01,2.633111573099893121e+02,2.633152352244964618e+02,2.640504575154739655e+02,3.538781709658175032e+02,2.639714315722142146e+02,2.640350201372966694e+02,2.923543329505613997e+02
1.674866824646431274e-01,2.633111573099893121e+02,2.633152348652115506e+02,2.640504559248441865e+02,3.538781757789378730e+02,2.639714340740372336e+02,2.640350237709158137e+02,2.923542749950051984e+02
1.727206412916632294e-01,2.633111573099893121e+02,2.633152345059950221e+02,2.640504543342162833e+02,3.538781805920582428e+02,2.639714398193059424e+02,2.640350274101219838e+02,2.923542174269313136e+02
1.779546001186833315e-01,2.633111573099893121e+02,2.633152341469042312e+02,2.640504527435830937e+02,3.538781854051562163e+02,2.639714545297641735e+02,2.640350310499413808e+02,2.923541594713540235e+02
1.831885589457034336e-01,2.633111573099893121e+02,2.633152337873980287e+02,2.640504511529546789e+02,3.538781902182749377e+02,2.639714626143789360e+02,2.640350346949318237e+02,2.923541019024111733e+02
1.884225177727235079e-01,2.633111573099893121e+02,2.633152334283805089e+02,2.640504495623212620e+02,3.538781950313818925e+02,2.639714727464049133e+02,2.640350383407380832e+02,2.923540439470133947e+02
1.936564765997436099e-01,2.633111573099893121e+02,2.633152330690685972e+02,2.640504479716931883e+02,3.538782086990481730e+02,2.639714837814617567e+02,2.640350419918069065e+02,2.923539863773744401e+02
