Time,217-B,JUNCTION-34,JUNCTION-30
0.000000000000000000e+00,2.644952043457031436e+02,2.643932756835937425e+02,2.641051444335937504e+02
4.996054891020853227e-03,2.637611900271953687e+02,2.643932757421396218e+02,2.641051459488876390e+02
9.992109782041706453e-03,2.630285794200944451e+02,2.643932757421960673e+02,2.641051459489352737e+02
1.498816467306255881e-02,2.622972585338861222e+02,2.643932757422363125e+02,2.641051459489959825e+02
1.998421956408341291e-02,2.615673666786464082e+02,2.643932757422927011e+02,2.641051459490435604e+02
2.498027445510426700e-02,2.608387940830693879e+02,2.643932757423329463e+02,2.641051459491043829e+02
2.997632934612511763e-02,2.601116798097656897e+02,2.643932757423893349e+02,2.641051459491519040e+02
3.497238423714597172e-02,2.593859014550324673e+02,2.643849473697076746e+02,2.641051459492126696e+02
3.996843912816682581e-02,2.586616247880971287e+02,2.643766353215804088e+02,2.641051459492601907e+02
4.496449401918767991e-02,2.579387282261890846e+02,2.643683405574000744e+02,2.641051459493208995e+02
4.996054891020853400e-02,2.572173503390235965e+02,2.643600623686510289e+02,2.641051459493685911e+02
5.495660380122938810e-02,2.564973838835887250e+02,2.643518017483910398e+02,2.641051459494292999e+02
5.995265869225023525e-02,2.557789671865646710e+02,2.643435579997583318e+02,2.641051459494769915e+02
6.494871358327108934e-02,2.558941593722802850e+02,2.643353320744619737e+02,2.641051459495375298e+02
6.994476847429194344e-02,2.560033789983406791e+02,2.643271233608000443e+02,2.641051459495852214e+02
7.494082336531279753e-02,2.561064875926400646e+02,2.643189328057313219e+02,2.641051459496457596e+02
7.993687825633365163e-02,2.562034693531034577e+02,2.643107597355028702e+02,2.641051459496935081e+02
8.493293314735450572e-02,2.562941799961604374e+02,2.643026051296603782e+02,2.641051459497541032e+02
8.992898803837535981e-02,2.563785987469051406e+02,2.642944683259498220e+02,2.641051459498017948e+02
9.492504292939621391e-02,2.564565845532851540e+02,2.642875713164125955e+02,2.641051459498624467e+02
9.992109782041706800e-02,2.565281005578535201e+02,2.642806222246491643e+02,2.641051459499101384e+02
1.049171527114379221e-01,2.565930033024969816e+02,2.642736201411268553e+02,2.641051459499706766e+02
1.099132076024587762e-01,2.566512612764591950e+02,2.642665645159772794e+02,2.641051459500183682e+02
1.149092624934796303e-01,2.567027232078514203e+02,2.642594544110987158e+02,2.641051459500789633e+02
1.199053173845004705e-01,2.567473510741731388e+02,2.642522892273632351e+02,2.641051459501267118e+02
1.249013722755213246e-01,2.566018228550009894e+02,2.642450680266434233e+02,2.641051459501872500e+02
1.298974271665421787e-01,2.564563318479199552e+02,2.642377901071192809e+02,2.641051459502348848e+02
1.348934820575630467e-01,2.563107630987773859e+02,2.642304545028230223e+02,2.641051459502954799e+02
1.398895369485838869e-01,2.561649697949835627e+02,2.642230605069905209e+02,2.641051459503432852e+02
1.448855918396047548e-01,2.560188219806462939e+02,2.642156071013399696e+02,2.641051459504038235e+02
1.498816467306255951e-01,2.558721574257809834e+02,2.642080935122567098e+02,2.641051459504516856e+02
1.548777016216464630e-01,2.557248242361496864e+02,2.641996473623262887e+02,2.641051459505121102e+02
1.598737565126673033e-01,2.555766514149092643e+02,2.641911501974595353e+02,2.641051459505596881e+02
1.648698114036881435e-01,2.554274662017176070e+02,2.641825999921098287e+02,2.641051459506203400e+02
1.698658662947090114e-01,2.552770706335682576e+02,2.641739943504431949e+02,2.641051459506679748e+02
1.748619211857298517e-01,2.551252718759925244e+02,2.641653310464599826e+02,2.641051459507285699e+02
1.798579760767507196e-01,2.549718506966883069e+02,2.641566074644608193e+02,2.641051459507763184e+02
1.848540309677715598e-01,2.549455972595057744e+02,2.641478211275890544e+02,2.641051459508369703e+02
1.898500858587924278e-01,2.549152058061223443e+02,2.641389692230251285e+02,2.641051459508845483e+02
1.948461407498132680e-01,2.548804936811008304e+02,2.641300490078137955e+02,2.641051459509451433e+02
1.998421956408341360e-01,2.548412797627543682e+02,2.641210573623412756e+02,2.641051459509926644e+02
2.048382505318549762e-01,2.547973488337654260e+02,2.641119912624486687e+02,2.641051459510533732e+02
2.098343054228758442e-01,2.547484850632475855e+02,2.641028472853536186e+02,2.641051459511010648e+02
2.148303603138966844e-01,2.546944375124715521e+02,2.640942236885649095e+02,2.641051459511616599e+02
2.198264152049175524e-01,2.546349406928512167e+02,2.640855025965618665e+02,2.641051459512091810e+02
2.248224700959383926e-01,2.545509693662873758e+02,2.640766798442899130e+02,2.641051459512697761e+02
2.298185249869592606e-01,2.544605838089145777e+02,2.640677511226640490e+02,2.641051459513172972e+02
2.348145798779801008e-01,2.543634084849839780e+02,2.640587117024176678e+02,2.641051459513779491e+02
2.398106347690009410e-01,2.542590443012548462e+02,2.640495566624927619e+02,2.641051459514255839e+02
2.448066896600218090e-01,2.540582911581728069e+02,2.640402806240779228e+02,2.641051459514863495e+02
2.498027445510426492e-01,2.538512762418952775e+02,2.640308779074313748e+02,2.641051459515337569e+02
2.547987994420635172e-01,2.533921048528422091e+02,2.640211302582267194e+02,2.641051459515944657e+02
2.597948543330843574e-01,2.529196580682857416e+02,2.640112392499049747e+02,2.641051459516421005e+02
2.647909092241051976e-01,2.524329063651976242e+02,2.640011975881708395e+02,2.641051459517028093e+02
2.697869641151260933e-01,2.519306921140810118e+02,2.639909974468831138e+02,2.641051459517502167e+02
2.747830190061469335e-01,2.514117474131848553e+02,2.639802193734562366e+02,2.641051459518108686e+02
2.797790738971677738e-01,2.508746443329310694e+02,2.639692740935972779e+02,2.641051459518585602e+02
2.847751287881886140e-01,2.503594872746715794e+02,2.639553737857395390e+02,2.641051459519188143e+02
2.897711836792095097e-01,2.498229625351974050e+02,2.639412188833259734e+02,2.641051459519667333e+02
2.947672385702303499e-01,2.492630572662778263e+02,2.639267934694391329e+02,2.641051465683441393e+02
2.997632934612511901e-01,2.486774726503037982e+02,2.639120792156338098e+02,2.641051465683933657e+02
3.047593483522720303e-01,2.481235056745745453e+02,2.638970568566696784e+02,2.641051551159727637e+02
3.097554032432929261e-01,2.475367881975974456e+02,2.638817042800320110e+02,2.641051551306695160e+02
3.147514581343137663e-01,2.471390766795161085e+02,2.638662602394396117e+02,2.641051551463899614e+02
3.197475130253346065e-01,2.466892510311241153e+02,2.638504331874399895e+02,2.641051551610523234e+02
3.247435679163554467e-01,2.461803876686140882e+02,2.638341934804737434e+02,2.641051551767370711e+02
3.297396228073762869e-01,2.456043011329085743e+02,2.638175071365612325e+02,2.641051551913649291e+02
3.347356776983971827e-01,2.449510838231995251e+02,2.638006085845444773e+02,2.641051552070133539e+02
3.397317325894180229e-01,2.442087517469576596e+02,2.637831747859782467e+02,2.641051552216071059e+02
3.447277874804388631e-01,2.433448508509112287e+02,2.637649622395491065e+02,2.641051552372200604e+02
3.497238423714597033e-01,2.423611874564299740e+02,2.637459088589772023e+02,2.641051552517790810e+02
3.547198972624805990e-01,2.412348947610154539e+02,2.637259207567029193e+02,2.641051547243000073e+02
3.597159521535014393e-01,2.427990129452657015e+02,2.637048874876494438e+02,2.641051547388246377e+02
3.647120070445222795e-01,2.457517259898595228e+02,2.636826782089930248e+02,2.641051547543672200e+02
3.697080619355431197e-01,2.487984376980061825e+02,2.636591361526142236e+02,2.641051547688579717e+02
3.747041168265640154e-01,2.519817083578539609e+02,2.636341310302576062e+02,2.641051547843648564e+02
3.797001717175848556e-01,2.553124208470867131e+02,2.636073966288505517e+02,2.641051547988214452e+02
3.846962266086056959e-01,2.588070164435106335e+02,2.635786466436190949e+02,2.641051548142928027e+02
3.896922814996265361e-01,2.624848509349544656e+02,2.635798509598772625e+02,2.641051548287150013e+02
3.946883363906474318e-01,2.663688223229952428e+02,2.635965316471405799e+02,2.641051548441512296e+02
3.996843912816682720e-01,2.704864571727300699e+02,2.636137447550701722e+02,2.641051548585397200e+02
4.046804461726891122e-01,2.748606556674234866e+02,2.636317312802805191e+02,2.641051548739403643e+02
4.096765010637099524e-01,2.795381892571890035e+02,2.636505528794639872e+02,2.641051548882946918e+02
