Time,JUNCTION-16,JUNCTION-20,JUNCTION-30,JUNCTION-45,JUNCTION-90,JUNCTION-23,416-B
0,263.31,263.32,264.05,353.88,263.97,264.04,291.12
0.005,263.31,263.32,264.05,353.88,263.97,264.04,291.12
0.01,263.31,263.32,264.05,353.88,263.97,264.04,290.97
0.015,263.31,263.32,264.05,353.88,263.97,264.04,290.97
0.02,263.31,263.32,264.05,353.88,263.97,264.04,290.97
0.025,263.31,263.32,264.05,353.88,263.97,264.04,290.97
0.03,263.31,263.32,264.05,353.88,263.97,264.04,290.97
0.035,263.31,263.32,264.05,353.88,263.97,264.04,290.97
0.04,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.045,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.05,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.055,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.06,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.065,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.07,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.075,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.08,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.085,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.09,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.095,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.1,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.105,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.11,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.115,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.12,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.125,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.13,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.135,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.14,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.145,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.15,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.155,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.16,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.165,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.17,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.175,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.18,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.185,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.19,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.195,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.2,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.205,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.21,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.215,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.22,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.225,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.23,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.235,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.24,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.245,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.25,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.255,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.26,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.265,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.27,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.275,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.28,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.285,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.29,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.295,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.3,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.305,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.31,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.315,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.32,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.325,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.33,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.335,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.34,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.345,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.35,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.355,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.36,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.365,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.37,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.375,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.38,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.385,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.39,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.395,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.4,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.405,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.41,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.415,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.42,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.425,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.43,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.435,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.44,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.445,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.45,263.31,263.32,264.05,353.88,263.97,264.03,290.97
0.455,263.31,263.32,264.05,353.88,263.97,264.03,290.97
